[# ERROR | 2024-03-27 | 17:02:59.698 | PID=8672 | ThreadId=9168 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:59.811 | PID=8672 | ThreadId=9168 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.002 | PID=8672 | ThreadId=6956 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.037 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.137 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.247 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.338 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.447 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.538 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.649 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.742 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:04.849 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
